run_datetime,S0,K,mu,sigma,N,monitoring_dates,style,l1,l2,l3,e1,e2,initial_option_value
2023-11-19 22:04:07.146892,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05537534173548862
2023-11-19 22:10:46.826138,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055682398130903865
2023-11-19 22:20:48.128521,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05758875822163253
2023-11-19 22:22:46.142738,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05641217727843446
2023-11-19 22:33:40.823765,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05562609885167566
2023-11-19 22:37:09.151299,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05565455695666161
2023-11-19 22:49:47.425542,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05556948997992496
2023-11-19 23:13:39.378698,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05583167134495124
2023-11-19 23:14:33.664620,1.0,1.0,0.06,0.2,10000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05602204579600342
2023-11-19 23:15:03.563068,1.0,1.0,0.06,0.2,10000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.055936706350144076
2023-11-19 23:15:31.494005,1.0,1.0,0.06,0.2,10000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05563834514061188
2023-11-19 23:17:15.596815,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056576596026624036
2023-11-19 23:18:09.993476,1.0,1.0,0.06,0.2,10000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056881729249502085
2023-11-19 23:18:35.771301,1.0,1.0,0.06,0.2,10000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05621263894477919
2023-11-19 23:19:05.689942,1.0,1.0,0.06,0.2,10000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05566954790930467
2023-11-19 23:19:27.490496,1.0,1.0,0.06,0.2,10000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05548230954194266
2023-11-19 23:19:48.701793,1.0,1.0,0.06,0.2,10000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056436999329038715
2023-11-19 23:21:46.565845,1.0,1.0,0.06,0.2,50000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.0555245857399367
2023-11-19 23:22:45.564595,1.0,1.0,0.06,0.2,10000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056090955622467895
2023-11-19 23:23:13.664822,1.0,1.0,0.06,0.2,10000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.056632470688432364
2023-11-19 23:23:38.812907,1.0,1.0,0.06,0.2,10000,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],put,0.01,0.005,0.001,1000,1000,0.05685378650140415
