S0,K,mu,sigma,monitoring_dates,nodes,number_of_sample_paths,loss_probability_Delta,loss_probability_SS,95%_VaR_Delta,95%_VaR_SS,95%_CVaR_Delta,95%_CVaR_SS
44,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],32,10000,0.4099,0.4742,-0.18848223465570157,-1.232035586901949,-0.28485991948989636,-2.4806676236789467
44,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],8,10000,0.4163,0.4899,-0.19756942632561447,-1.297355088901118,-0.29824730445575054,-2.579904323178157
44,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],16,10000,0.4163,0.1901,-0.19756942632561447,-2.291060645632779,-0.29824730445575054,-3.5371351346751307
44,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],16,10000,0.4163,0.4016,-0.19756942632561447,-1.582744601062184,-0.29824730445575054,-2.6101589981866855
44,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],16,10000,0.4163,0.4984,-0.19756942632561447,-1.2708923774494387,-0.29824730445575054,-2.5685938911521187
44,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],64,10000,0.4163,0.4845,-0.19756942632561447,-1.2881505198870435,-0.29824730445575054,-2.57074338395362
44,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],64,10000,0.4163,0.4694,-0.19756942632561447,-1.2889251426270825,-0.29824730445575054,-2.5705916150928725
44,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],64,10000,0.4163,0.4696,-0.19756942632561447,-1.2848295114966457,-0.29824730445575054,-2.5706974605363606
44,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],64,10000,0.4163,0.4601,-0.19756942632561447,-1.2828175423725305,-0.29824730445575054,-2.571576056687598
44,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],8,10000,0.4135,0.429,-0.19205554505253394,-1.0602942967234341,-0.2992397885212905,-2.309900888148959
44,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],8,10000,0.4095,0.4323,-0.19368728121357628,-1.1573107779945406,-0.2914547716690951,-2.3667208244763156
44,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],8,10000,0.4057,0.1817,-0.19168626119651194,-462.42140528730573,-0.2905716525852994,-742.8530941248539
44,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],8,10000,0.4057,0.4892,-0.19168626119651194,-264.6621255099783,-0.2905716525852994,-551.0728898100047
44,40,0.06,0.2,[0.  0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1. ],8,10000,0.4057,0.4812,-0.19168626119651194,-253.9211491465786,-0.2905716525852994,-546.9152346603198
